// Map List
//ID  地图文件名  中文名   是否显示切换区域　初始画面坐标  摆放角色       平行光颜色    平行光方向
1	garner	Ascaron	1	2202,2782	3,2202,2782	255,255,255
2	magicsea	Magical Ocean	1	1350,550	3,1350,550	255,255,255
3	darkblue	Deep Blue Islands	1	70,70	3,70,70	255,255,255
4	lonetower	Lone Tower	0	50,50	3,50,50	255,255,255
5	eastgoaf	Eastern Goaf	1	50,50	3,50,50	255,255,255
6	secretgarden	Garden of Edel	0	50,50	3,50,50	255,255,255
7	darkswamp	Dark Swamp	0	50,50	3,50,50	255,255,255
8	abandonedcity	Forsaken City	0	50,50	3,50,50	255,255,255
9	abandonedcity2	Forsaken City 2	0	150,150	3,50,50	255,255,255
10	abandonedcity3	Forsaken City 3	0	150,150	3,50,50	255,255,255
11	puzzleworld	Demonic World	0	1, 1	3,50,50	0,0,0
12	puzzleworld2	Demonic World 2	0	1, 1	3,50,50	0,0,0
13	teampk	Arena	0	1, 1	3,50,50	0,0,0
14	jialebi	海盗基地	0	150,150	3,50,50	255,255,255	
